OBJECTID,ADDRESS,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,TOWN,TOWN_ID,ZIPCODE,STATUS
323070528,6 ARCADIA AVENUE,6,ARCADIA AVENUE,,,,WALTHAM,308,02452,ACTIVE
323071490,61 BEDFORD STREET,61,BEDFORD STREET,,,,WALTHAM,308,02453,ACTIVE
323071497,66 BEDFORD STREET,66,BEDFORD STREET,,,,WALTHAM,308,02453,ACTIVE
323071498,70 BEDFORD STREET,70,BEDFORD STREET,,,,WALTHAM,308,02453,ACTIVE
323071503,88 BEDFORD STREET,88,BEDFORD STREET,,,,WALTHAM,308,02453,ACTIVE
323071518,132 BEDFORD STREET,132,BEDFORD STREET,,,,WALTHAM,308,02453,ACTIVE
323071537,26 BEECHWOOD ROAD,26,BEECHWOOD ROAD,,,,WALTHAM,308,02453,ACTIVE
323071550,11 BELLEVUE STREET,11,BELLEVUE STREET,,,,WALTHAM,308,02453,LINKED
323072338,70 BRIARWOOD ROAD,70,BRIARWOOD ROAD,,,,WALTHAM,308,02452,ACTIVE
323072361,45 BRIGHAM ROAD,45,BRIGHAM ROAD,,,,WALTHAM,308,02453,ACTIVE
323072373,45 BRIGHT STREET,45,BRIGHT STREET,,,,WALTHAM,308,02453,ACTIVE
323072366,12 BRIGHT STREET,12,BRIGHT STREET,,,,WALTHAM,308,02453,ACTIVE
323072368,23 BRIGHT STREET,23,BRIGHT STREET,,,,WALTHAM,308,02453,ACTIVE
323072369,25 BRIGHT STREET,25,BRIGHT STREET,,,,WALTHAM,308,02453,ACTIVE
323072375,51 BRIGHT STREET,51,BRIGHT STREET,,,,WALTHAM,308,02453,ACTIVE
323073382,118 CENTRAL STREET,118,CENTRAL STREET,,,,WALTHAM,308,02453,ACTIVE
323073341,72 CENTRAL STREET,72,CENTRAL STREET,,,,WALTHAM,308,02453,LINKED
323073343,78 CENTRAL STREET,78,CENTRAL STREET,,,,WALTHAM,308,02453,ACTIVE
323073367,103-105 CENTRAL STREET,103-105,CENTRAL STREET,,,,WALTHAM,308,02453,ACTIVE
323073385,8 CENTRE STREET,8,CENTRE STREET,,,,WALTHAM,308,02453,ACTIVE
323073394,51 CHAFFEE AVENUE,51,CHAFFEE AVENUE,,,,WALTHAM,308,02453,ACTIVE
323074323,10 CLEMATIS AVENUE,10,CLEMATIS AVENUE,,,,WALTHAM,308,02453,ACTIVE
323074285,120 CLARK LANE,120,CLARK LANE,,,,WALTHAM,308,02451,ACTIVE
323074319,146-148 CLARK STREET,146-148,CLARK STREET,,,,WALTHAM,308,02453,ACTIVE
323074320,146 CLARK STREET,146,CLARK STREET,,,,WALTHAM,308,02453,ACTIVE
323074331,53 CLEMATIS AVENUE,53,CLEMATIS AVENUE,,,,WALTHAM,308,02453,ACTIVE
323070537,26 ARCADIA AVENUE,26,ARCADIA AVENUE,,,,WALTHAM,308,02452,ACTIVE
323070546,58 ARCADIA AVENUE,58,ARCADIA AVENUE,,,,WALTHAM,308,02452,ACTIVE
