STREETNAME,zone,whole_street_in_zone,lowest_number_on_segment,highest_number_on_segment,notes
ABBOTT ROAD,2,TRUE,,,
ABERDEEN AVENUE,10,TRUE,,,
ACORN STREET,10,TRUE,,,
ADAMS AVENUE,13,TRUE,,,
ADAMS AVENUE (NEWTON),13,TRUE,,,
ADAMS STREET,13,FALSE,0,135,
ADAMS STREET,12,FALSE,136,10000,
ADDISON ROAD,2,TRUE,,,
AGRILLO CIRCLE,1,TRUE,,,
ALBEMARLE ROAD,2,TRUE,,,
ALBERT STREET,12,TRUE,,,
ALDER STREET,13,TRUE,,,
ALDERWOOD ROAD,2,TRUE,,,
ALLEN ROAD,10,TRUE,,,
AMELIA DRIVE,2,TRUE,,,
AMHERST AVENUE,1,FALSE,0,64,
AMHERST AVENUE,4,FALSE,65,10000,
AMORY ROAD,9,TRUE,,,
ANDREA ROAD,8,TRUE,,,
ANGLESIDE ROAD,12,TRUE,,,
ANTICO CIRCLE,14,TRUE,,,
ANTICO WAY,12,TRUE,,,
APPLETON STREET,9,TRUE,,,
ARBOR LANE,1,TRUE,,,
ARBOR ROAD (NEWTON),13,TRUE,,,
ARCADIA AVENUE,2,TRUE,,,
ARCADIA PLACE,2,TRUE,,,
ARLINGTON ROAD,13,TRUE,,,
ASH STREET,13,TRUE,,,
ATHLETIC FIELD ROAD,5,TRUE,,,
AUBURN STREET,8,TRUE,,,
AUBURN TERRACE,8,TRUE,,,
AUGUSTUS ROAD,2,TRUE,,,
AUTUMN LANE,4,TRUE,,,
AZALEA ROAD,2,TRUE,,,
BACON STREET,5,FALSE,60,10000,
BACON STREET,9,FALSE,0,59,
BALDWIN ROAD,2,TRUE,,,
BALM AVENUE,0,TRUE,,,not on map
BANBURY AVENUE,2,TRUE,,,
BANCROFT STREET,1,TRUE,,,
BANFORD WAY,12,TRUE,,,
BANKS STREET,5,TRUE,,,
BARBARA ROAD,7,TRUE,,,
BARBERRY ROAD (LEXINGTON),0,TRUE,,,
BARNES STREET,7,TRUE,,,
BARTLETT WAY,2,TRUE,,,
BARTON STREET,9,TRUE,,,
BEAL ROAD,7,TRUE,,,
BEAR HILL ROAD,3,TRUE,,,
BEAVER BROOK ROAD,3,TRUE,,,
BEAVER STREET,7,FALSE,0,634,
BEAVER STREET,5,FALSE,635,10000,
BEDFORD STREET,8,FALSE,122,10000,
BEDFORD STREET,12,FALSE,0,121,
BEECH STREET,13,TRUE,,,
BEECHWOOD ROAD,10,TRUE,,,
BELLEVUE PLACE,12,TRUE,,,
BELLEVUE STREET,12,TRUE,,,
BEMIS AVENUE,9,TRUE,,,
BENEFIT STREET,10,TRUE,,,
BENNETT STREET,10,TRUE,,,
BERKLEY STREET,1,TRUE,,,
BERKSHIRE ROAD,13,TRUE,,,
BIGELOW ROAD,5,TRUE,,,
BIRCH ROAD,1,TRUE,,,
BISHOP TERRACE,7,TRUE,,,
BISHOPS FOREST DRIVE,5,TRUE,,,
BITHER AVENUE,10,TRUE,,,
BLACK BEAR DRIVE,3,TRUE,,,
BLOSSOM STREET,4,TRUE,,,
BOLAND STREET,10,TRUE,,,
BOLTON STREET,10,TRUE,,,
BOW STREET,2,TRUE,,,
BOWDOIN AVENUE,1,FALSE,0,55,
BOWDOIN AVENUE,4,FALSE,56,10000,
BOWKER ROAD,7,TRUE,,,
BOWKER STREET,7,TRUE,,,
BOYNTON STREET,8,TRUE,,,
BRADFORD STREET,14,TRUE,,,
BRAEMORE ROAD,4,TRUE,,,
BRENNAN AVENUE,1,TRUE,,,
BREWSTER ROAD,1,TRUE,,,
BRIAR HILL LANE,2,TRUE,,,
BRIARWOOD ROAD,2,TRUE,,,
BRIGHAM ROAD,7,TRUE,,,
BRIGHT STREET,10,TRUE,,,
BRIGHTWOOD ROAD,7,TRUE,,,
BROOK AVENUE,12,TRUE,,,
BROOK ROAD,-1,TRUE,,,Not on WALTHAMGIS map https://walthamgis.maps.arcgis.com/apps/View/index.html?appid=dfae686b83d5473f902dd3099985121c
BROOKFIELD ROAD,7,TRUE,,,
BROOKLINE STREET (WATERTOWN),7,TRUE,,,
BROOKWAY COURT,1,TRUE,,,
BROOKWAY ROAD,1,TRUE,,,
BROWN STREET,12,FALSE,0,111,
BROWN STREET,13,FALSE,112,10000,
BROWNS AVENUE,9,TRUE,,,
BRUCE ROAD,7,TRUE,,,
BRYANT ROAD,8,TRUE,,,
BUTTRICK STREET (NEWTON),12,TRUE,,,
BUXTON LANE,5,TRUE,,,
BYRON ROAD,7,TRUE,,,
CABOT STREET,8,TRUE,,,
CALDWELL ROAD,8,TRUE,,,
CALVARY STREET,10,TRUE,,,
CAMBRIA ROAD,13,TRUE,,,
CAMBRIA ROAD (NEWTON),-1,TRUE,,,Not on WALTHAMGIS map
CANDACE AVENUE,7,TRUE,,,
CANDLEWOOD DRIVE,1,TRUE,,,
CANTERBURY ROAD,7,TRUE,,,
CARLETON ROAD,8,TRUE,,,
CARLIN ROAD,1,TRUE,,,
